"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.138"
"2","0.000000","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.138"
"3","0.000117","IntelCor_8e:ca:bf","HeightsT_99:7d:3b","ARP","42","10.0.0.7 is at 68:54:5a:8e:ca:bf"
"4","0.000580","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.138"
"5","0.003388","10.0.0.138","10.0.0.7","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"6","0.003523","10.0.0.7","10.0.0.138","NBNS","199","Name query response NBSTAT"
"7","1.536344","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TLSv1.2","178","Application Data"
"8","1.585093","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TCP","74","56142  >  443 [ACK] Seq=1 Ack=105 Win=513 Len=0"
"9","1.585330","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","178","[TCP Spurious Retransmission] 443  >  56142 [PSH, ACK] Seq=1 Ack=1 Win=406 Len=104"
"10","1.585438","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","[TCP Dup ACK 8#1] 56142  >  443 [ACK] Seq=1 Ack=105 Win=513 Len=0 SLE=1 SRE=105"
"11","1.596488","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","148","Application Data"
"12","1.644077","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","74","443  >  56142 [ACK] Seq=105 Ack=75 Win=406 Len=0"
"13","1.845098","HeightsT_99:7d:3b","Broadcast","0x1ee4","206","Ethernet II"
"14","2.049662","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TLSv1.2","178","Application Data"
"15","2.063818","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","148","Application Data"
"16","2.111265","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","74","443  >  56142 [ACK] Seq=209 Ack=149 Win=406 Len=0"
