"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.7","107.178.240.159","TCP","55","56203  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1 [TCP segment of a reassembled PDU]"
"2","0.013927","107.178.240.159","10.0.0.7","TCP","66","443  >  56203 [ACK] Seq=1 Ack=2 Win=486 Len=0 SLE=1 SRE=2"
"3","3.686568","fe80::2b8:c2ff:fe99:7d3b","ff02::1","ICMPv6","90","Multicast Listener Query"
"4","3.686568","10.0.0.138","224.0.0.1","IGMPv3","60","Membership Query, general"
"5","3.861002","10.0.0.7","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"6","3.861324","fe80::72ab:6a78:99fb:47f5","ff02::16","ICMPv6","190","Multicast Listener Report Message v2"
"7","4.608460","HeightsT_99:7d:3b","Broadcast","0x1ee4","206","Ethernet II"
"8","6.459789","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.138"
"9","6.459789","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.138"
"10","6.459789","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.138"
"11","6.459877","IntelCor_8e:ca:bf","HeightsT_99:7d:3b","ARP","42","10.0.0.7 is at 68:54:5a:8e:ca:bf"
"12","6.463849","10.0.0.138","10.0.0.7","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"13","6.464049","10.0.0.7","10.0.0.138","NBNS","199","Name query response NBSTAT"
"14","7.985738","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TLSv1.2","223","Application Data"
"15","7.986086","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TLSv1.2","194","Application Data"
"16","7.986086","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","194","[TCP Retransmission] 443  >  56142 [PSH, ACK] Seq=150 Ack=1 Win=473 Len=120"
"17","7.986182","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","56142  >  443 [ACK] Seq=1 Ack=270 Win=511 Len=0 SLE=150 SRE=270"
"18","8.005543","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","343","[TCP Spurious Retransmission] 443  >  56142 [PSH, ACK] Seq=1 Ack=1 Win=473 Len=269"
"19","8.005659","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","[TCP Dup ACK 17#1] 56142  >  443 [ACK] Seq=1 Ack=270 Win=511 Len=0 SLE=1 SRE=270"
"20","8.041897","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","170","Application Data"
"21","8.046815","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"22","8.089192","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","74","443  >  56142 [ACK] Seq=270 Ack=97 Win=473 Len=0"
"23","8.093507","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","74","443  >  56142 [ACK] Seq=270 Ack=192 Win=473 Len=0"
"24","8.939815","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","143","Application Data"
"25","8.989385","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TCP","74","443  >  56142 [ACK] Seq=270 Ack=261 Win=473 Len=0"
"26","9.078510","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","TLSv1.2","145","Application Data"
"27","9.131558","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a03:2880:f242:c8:face:b00c:0:167","TCP","74","56142  >  443 [ACK] Seq=261 Ack=341 Win=511 Len=0"
"28","9.189161","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a00:1450:4028:802::200a","UDP","91","55079  >  443 Len=29"
"29","9.201716","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","87","443  >  55079 Len=25"
"30","9.353178","10.0.0.7","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"31","10.922656","10.0.0.7","34.228.134.93","TCP","55","56305  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"32","10.922802","10.0.0.7","13.226.2.61","TCP","55","56268  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU]"
"33","10.934993","13.226.2.61","10.0.0.7","TCP","66","443  >  56268 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"34","11.160788","34.228.134.93","10.0.0.7","TCP","66","443  >  56305 [ACK] Seq=1 Ack=2 Win=328 Len=0 SLE=1 SRE=2"
"35","11.571463","13.107.42.12","10.0.0.7","TCP","60","443  >  56291 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"36","11.946383","10.0.0.7","52.21.48.104","TCP","55","56315  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"37","12.185342","52.21.48.104","10.0.0.7","TCP","66","443  >  56315 [ACK] Seq=1 Ack=2 Win=122 Len=0 SLE=1 SRE=2"
"38","12.355168","10.0.0.7","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"39","12.595407","HeightsT_99:7d:3b","Broadcast","0x1ee4","206","Ethernet II"
"40","12.595407","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","100","443  >  55079 Len=38"
"41","12.605404","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a00:1450:4028:802::200a","UDP","95","55079  >  443 Len=33"
"42","12.801262","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a00:1450:4028:802::200a","UDP","91","55079  >  443 Len=29"
