"No.","Time","Source","Destination","Protocol","Length","Info"
"2473","11.825251","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","1292","Protected Payload (KP0), PKN: 14, CRYPTO"
"2474","11.825509","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","HTTP3","1292","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 14, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS"
"2477","11.827153","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","184","Protected Payload (KP0), PKN: 15, DONE, NT, NCI"
"2478","11.827375","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","97","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 15, ACK"
"2479","11.830518","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","91","Protected Payload (KP0), PKN: 16, ACK, STREAM(7)"
"2480","11.830740","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","97","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 16, ACK"
"2481","11.830792","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","87","Protected Payload (KP0), PKN: 17, ACK"
"2482","11.831058","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","87","Protected Payload (KP0), PKN: 18, ACK"
"2484","11.835485","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","89","Protected Payload (KP0), PKN: 19, ACK"
"2485","11.837625","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","91","Protected Payload (KP0), PKN: 20, ACK"
"2911","12.053957","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","91","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 17, PADDING, PING"
"2912","12.063079","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","89","Protected Payload (KP0), PKN: 21, ACK"
"2913","12.164835","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","191","Protected Payload (KP0), PKN: 24, PADDING, STREAM(0)"
"2914","12.164835","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","925","Protected Payload (KP0), PKN: 22, STREAM(11), STREAM(0), HEADERS, DATA"
"2915","12.164835","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","96","Protected Payload (KP0), PKN: 23, STREAM(0), DATA"
"2916","12.165269","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","95","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 18, ACK"
"2917","12.165470","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","HTTP3","99","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 19, ACK, STREAM(6)"
"2918","12.165532","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","93","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 20, ACK"
"2921","12.200514","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","86","Protected Payload (KP0), PKN: 25, ACK"
