"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","IntelCor_8e:ca:bf","XiaomiCo_64:96:e3","ARP","42","Who has 10.0.0.3? Tell 10.0.0.7"
"2","0.021243","XiaomiCo_64:96:e3","IntelCor_8e:ca:bf","ARP","60","10.0.0.3 is at a4:50:46:64:96:e3"
"3","0.526015","XiaomiCo_64:96:e3","IntelCor_8e:ca:bf","ARP","60","Who has 10.0.0.7? Tell 10.0.0.3"
"4","0.526082","IntelCor_8e:ca:bf","XiaomiCo_64:96:e3","ARP","42","10.0.0.7 is at 68:54:5a:8e:ca:bf"
"5","0.682401","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","151","Application Data"
"6","0.737266","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TCP","74","51770  >  443 [ACK] Seq=1 Ack=78 Win=515 Len=0"
"7","0.846825","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:800::200a","UDP","91","51173  >  443 Len=29"
"8","0.858573","2a00:1450:4028:800::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  51173 Len=25"
"9","1.134686","HeightsT_99:7d:3b","Broadcast","0x1ee4","206","Ethernet II"
"10","1.844546","10.0.0.7","199.232.82.132","TCP","55","51886  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"11","1.891966","199.232.82.132","10.0.0.7","TCP","66","443  >  51886 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"12","2.033041","10.0.0.7","34.218.162.254","TLSv1.2","116","Application Data"
"13","2.033136","10.0.0.7","34.218.162.254","TLSv1.2","100","Application Data"
"14","2.033159","10.0.0.7","34.218.162.254","TLSv1.2","2375","Application Data"
"15","2.246885","34.218.162.254","10.0.0.7","TCP","54","443  >  51905 [ACK] Seq=1 Ack=109 Win=394 Len=0"
"16","2.246885","34.218.162.254","10.0.0.7","TLSv1.2","100","Application Data"
"17","2.250806","34.218.162.254","10.0.0.7","TCP","56","443  >  51905 [ACK] Seq=47 Ack=2430 Win=425 Len=0"
"18","2.256585","34.218.162.254","10.0.0.7","TLSv1.2","279","Application Data"
"19","2.256585","34.218.162.254","10.0.0.7","TLSv1.2","92","Application Data"
"20","2.256694","10.0.0.7","34.218.162.254","TCP","54","51905  >  443 [ACK] Seq=2430 Ack=310 Win=516 Len=0"
"21","2.257295","10.0.0.7","34.218.162.254","TLSv1.2","96","Application Data"
"22","2.310526","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","726","Application Data"
"23","2.358436","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TCP","74","51770  >  443 [ACK] Seq=1 Ack=730 Win=512 Len=0"
"24","2.375010","20.199.120.151","10.0.0.7","TLSv1.2","433","Application Data"
"25","2.375314","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","170","Application Data"
"26","2.385604","10.0.0.7","20.199.120.151","TLSv1.2","188","Application Data"
"27","2.426131","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  51770 [ACK] Seq=730 Ack=97 Win=339 Len=0"
"28","2.494718","20.199.120.151","10.0.0.7","TCP","60","443  >  49605 [ACK] Seq=380 Ack=135 Win=7085 Len=0"
"29","2.512724","34.218.162.254","10.0.0.7","TCP","56","443  >  51905 [ACK] Seq=310 Ack=2472 Win=425 Len=0"
"30","2.543278","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","TLSv1.2","133","Application Data"
"31","2.543368","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","TLSv1.2","113","Application Data"
"32","2.552795","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  51778 [ACK] Seq=1 Ack=60 Win=133 Len=0"
"33","2.552795","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  51778 [ACK] Seq=1 Ack=99 Win=133 Len=0"
"34","2.552795","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","113","Application Data"
"35","2.579611","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","86","51908  >  5222 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"36","2.606472","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","TCP","74","51778  >  443 [ACK] Seq=99 Ack=40 Win=511 Len=0"
"37","2.627340","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","86","5222  >  51908 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"38","2.627606","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","74","51908  >  5222 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"39","2.628553","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","312","51908  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=132096 Len=238 [TCP segment of a reassembled PDU]"
"40","2.678739","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","5222  >  51908 [ACK] Seq=1 Ack=239 Win=66816 Len=0"
"41","2.782858","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","131","5222  >  51908 [PSH, ACK] Seq=1 Ack=239 Win=66816 Len=57 [TCP segment of a reassembled PDU]"
"42","2.782858","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","124","5222  >  51908 [PSH, ACK] Seq=58 Ack=239 Win=66816 Len=50 [TCP segment of a reassembled PDU]"
"43","2.783158","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","74","51908  >  5222 [ACK] Seq=239 Ack=108 Win=132096 Len=0"
"44","2.804480","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","447","Application Data"
"45","2.854612","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","TCP","74","51778  >  443 [ACK] Seq=99 Ack=413 Win=514 Len=0"
"46","2.905288","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","120","5222  >  51908 [PSH, ACK] Seq=108 Ack=239 Win=66816 Len=46 [TCP segment of a reassembled PDU]"
"47","2.905288","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","127","5222  >  51908 [PSH, ACK] Seq=154 Ack=239 Win=66816 Len=53 [TCP segment of a reassembled PDU]"
"48","2.905447","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","74","51908  >  5222 [ACK] Seq=239 Ack=207 Win=131840 Len=0"
"49","2.906321","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","109","51908  >  5222 [PSH, ACK] Seq=239 Ack=207 Win=131840 Len=35 [TCP segment of a reassembled PDU]"
"50","2.906631","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","119","51908  >  5222 [PSH, ACK] Seq=274 Ack=207 Win=131840 Len=45 [TCP segment of a reassembled PDU]"
"51","2.906718","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","119","5222  >  51908 [PSH, ACK] Seq=207 Ack=239 Win=66816 Len=45 [TCP segment of a reassembled PDU]"
"52","2.906829","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","113","51908  >  5222 [PSH, ACK] Seq=319 Ack=207 Win=131840 Len=39 [TCP segment of a reassembled PDU]"
"53","2.906952","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","702","5222  >  51908 [PSH, ACK] Seq=252 Ack=239 Win=66816 Len=628 [TCP segment of a reassembled PDU]"
"54","2.907032","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","74","51908  >  5222 [ACK] Seq=358 Ack=880 Win=131328 Len=0"
"55","2.907287","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","108","51908  >  5222 [PSH, ACK] Seq=358 Ack=880 Win=131328 Len=34 [TCP segment of a reassembled PDU]"
"56","2.907488","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","111","5222  >  51908 [PSH, ACK] Seq=880 Ack=239 Win=66816 Len=37 [TCP segment of a reassembled PDU]"
"57","2.907743","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","204","51908  >  5222 [PSH, ACK] Seq=392 Ack=917 Win=131072 Len=130 [TCP segment of a reassembled PDU]"
"58","2.917335","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","141","51908  >  5222 [PSH, ACK] Seq=522 Ack=917 Win=131072 Len=67 [TCP segment of a reassembled PDU]"
"59","2.917457","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","114","51908  >  5222 [PSH, ACK] Seq=589 Ack=917 Win=131072 Len=40 [TCP segment of a reassembled PDU]"
"60","2.919582","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","393","51908  >  5222 [PSH, ACK] Seq=629 Ack=917 Win=131072 Len=319 [TCP segment of a reassembled PDU]"
"61","2.954337","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","5222  >  51908 [ACK] Seq=917 Ack=274 Win=66816 Len=0"
"62","2.955253","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","5222  >  51908 [ACK] Seq=917 Ack=319 Win=66816 Len=0"
"63","2.955253","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","5222  >  51908 [ACK] Seq=917 Ack=358 Win=66816 Len=0"
